prescription_name,Acute Kidney Failure,Chronic Kidney Disease,Diabetes,Heart Attack,Asthma,Liver Disease,Hypertension,Pneumonia
hepar,4,4,3,0,0,0,0,0
Docusate Sodiu,4,4,2,4,0,4,12,0
*NF* Levetiracetam,4,4,0,0,0,0,0,5
Rabies Vaccine,4,4,0,0,0,0,0,0
Nabumetone,4,3,14,6,7,1,23,3
cilostazol,4,3,14,6,4,3,9,0
WelChol,4,3,11,6,0,1,17,2
dextrose,4,3,9,1,0,0,0,0
Fluticasone-Salmeterol,4,3,6,6,11,0,10,4
*NF* Warfarin,4,3,4,0,0,1,2,4
Selenium Sulfide,4,3,4,0,0,0,4,3
sodium bi,4,3,2,2,1,1,3,4
Balanced Salt Opth. Soln,4,3,0,0,0,0,1,0
Cyclopentolate 1%,4,2,10,7,2,2,12,5
irbesartan,4,2,10,4,3,0,17,6
Diclofenac Sodium DR,4,2,8,2,6,0,10,0
Anzemet,4,2,8,2,0,0,4,1
Meningococcal Vaccine,4,2,6,2,2,1,11,10
multivitamin,4,2,4,3,1,2,4,1
Methylprednisolone Acetate,4,2,3,3,0,0,3,2
Brimonidine,4,2,2,0,0,0,2,2
Salagen,4,2,1,0,0,0,1,1
Gemtuzumab Ozogamicin,4,2,0,0,0,0,1,6
LanTUS,4,1,12,0,1,1,9,2
Symbicort,4,1,10,2,11,6,21,7
PrednisoLONE Acetate 0.12% Ophth. Susp.,4,1,8,1,1,2,9,1
Humulin R,4,1,8,0,4,0,0,0
Gemcitabine,4,1,6,0,3,0,4,3
multivit,4,1,5,1,0,1,3,2
Alum-Mag Hydroxide-Simethicone,4,1,5,1,0,0,0,0
Lexapro,4,1,4,3,1,0,8,4
Docusa,4,1,3,2,2,0,2,3
Charcoal-Sorbitol,4,1,3,1,1,1,3,0
heparin,4,1,2,0,0,1,3,0
sodiu,4,1,2,0,0,0,3,2
Clofarabine  *IND*,4,1,2,0,0,0,1,0
multiv,4,1,1,1,1,1,3,0
Imodium A-D,4,1,1,0,1,0,8,4
Cromolyn,4,1,1,0,0,0,5,0
NEO*IV*Parenteral Nutrition,4,1,0,0,0,0,14,17
Dexamethasone Oral Soln (0.1mg/1mL),4,1,0,0,0,0,3,1
Dakins,4,1,0,0,0,0,1,0
Tretinoin Suspension,4,0,16,4,0,0,20,20
Trimethobenzamide HCl,4,0,7,1,0,1,2,0
Candesartan Cilexetil,4,0,6,3,0,0,3,0
desvenlafaxine,4,0,6,0,0,0,2,0
Procainamide SR,4,0,5,3,0,0,8,1
olmesartan,4,0,5,1,2,0,9,0
Hep,4,0,5,0,0,0,2,0
Accolate,4,0,4,1,17,0,10,5
Papaverine HCl,4,0,4,1,0,0,1,1
Vancomycin Intrathecal,4,0,4,0,2,0,12,2
Emtriva,4,0,4,0,0,4,0,0
TISSEEL vs. FS VH SD,4,0,4,0,0,0,4,0
Humalog 75/25 Pen,4,0,4,0,0,0,0,0
Clofarabine,4,0,3,0,0,0,3,2
Micro-K,4,0,2,2,2,0,4,0
Metronidazole Gel 0.75%-Vaginal,4,0,2,1,3,3,5,2
Naltrexone,4,0,2,0,2,5,1,1
Dopamine Hcl,4,0,1,2,0,0,0,2
Cyproheptadine HCl,4,0,1,0,0,0,1,3
ther,4,0,1,0,0,0,1,0
Fluocinolone 0.025% Cream,4,0,0,2,0,0,1,2
Morphine Sulfate (2-4mg),4,0,0,0,1,0,0,3
Hepsera,4,0,0,0,0,9,0,2
Fosamprenavir Calcium,4,0,0,0,0,4,0,0
Tacrolimus ,4,0,0,0,0,4,0,0
Amprenavir,4,0,0,0,0,2,1,0
NEO*IV*Caffeine Citrate,4,0,0,0,0,0,36,28
Daunorubicin HCl,4,0,0,0,0,0,4,4
Dexrazoxane,4,0,0,0,0,0,4,0
Dilaudid,4,0,0,0,0,0,4,0
methadone,4,0,0,0,0,0,4,0
Oxytocin,4,0,0,0,0,0,4,0
Sodium Bicarbonate 4.2% (2.4mEq),4,0,0,0,0,0,3,5
Carmustine,4,0,0,0,0,0,3,0
Interferon Alfa-2B,4,0,0,0,0,0,0,4
Morphine Sulfate For Inhalation,4,0,0,0,0,0,0,3
Mumps Skin Test,4,0,0,0,0,0,0,1
Darunavir 600mg tablet,4,0,0,0,0,0,0,0
Raltegravir 400mg tablet,4,0,0,0,0,0,0,0
Zanamivir (*IND*),4,0,0,0,0,0,0,0
Etravirine 100mg tablet,4,0,0,0,0,0,0,0
Aspirin Desensitization (AERD),3,18,10,1,27,0,13,0
Insulin Glargine,3,6,25,3,1,1,5,4
Abacavir Oral Solution,3,6,8,0,2,0,4,1
Nelfinavir Mesylate,3,6,1,1,5,5,6,3
VinORELbine (Navelbine),3,5,4,0,1,0,0,1
glimepiride,3,4,30,3,2,0,24,0
Iron Dextran (Test Dose),3,4,7,0,0,0,6,2
Propoxyphene HCl,3,4,4,2,1,2,2,1
Peginterferon Alfa-2a,3,4,3,0,0,3,3,1
Renagel,3,4,3,0,0,0,0,3
Nefazodone HCl,3,4,2,2,8,0,8,3
Cortroysn,3,4,2,2,0,0,4,1
Candida Albicans,3,4,0,0,0,0,3,2
Levemir,3,3,25,7,9,0,7,0
Isosorbide,3,3,10,4,2,0,9,1
guaiFENesin,3,3,10,1,2,0,7,5
Avodart,3,3,9,3,4,2,21,0
AndroGel,3,3,8,3,0,2,5,3
Tetanus-Diphtheria Tox (DECAVAC),3,3,7,0,2,1,7,1
Nystatin-Triamcinolone Ointment,3,3,4,0,0,0,3,1
Neoral,3,3,3,3,0,0,3,0
Trifluridine 1% Ophth Soln.,3,3,3,0,0,0,4,1
Dasatinib,3,3,3,0,0,0,3,3
famciclovir,3,3,3,0,0,0,0,0
Nevanac,3,3,2,3,0,0,2,0
dilt,3,3,2,0,0,0,2,2
Imatinib Oral Suspension,3,3,2,0,0,0,0,2
MENINGOcoccal Poly Vaccine (Menomune),3,3,0,3,0,3,0,0
PARoxetine HCl,3,3,0,0,3,0,0,0
ValGANCIclovir Oral Solution,3,3,0,0,0,2,0,2
250 mL Bottle,3,3,0,0,0,2,0,1
Alteplase 1mg/5mL ( Clearance ie. Indwelling port ),3,3,0,0,0,0,6,2
Azacitidine,3,3,0,0,0,0,0,6
Octagam,3,3,0,0,0,0,0,0
Glyburide/Metformin (5mg-500mg),3,2,34,5,0,0,26,3
Atacand,3,2,10,6,1,1,25,3
Cabergoline,3,2,10,0,1,0,5,0
Carbamazepine Suspension,3,2,8,6,12,2,21,8
PleTAL,3,2,8,1,5,0,6,2
zafirlukast,3,2,5,2,3,0,4,3
Cetuximab,3,2,5,0,0,0,2,0
Profilnine SD,3,2,4,1,1,2,3,0
Lindane Lotion,3,2,3,0,0,1,5,0
Nystatin-Triamcinolone,3,2,2,3,0,2,6,2
Ketamine ,3,2,2,1,1,0,3,3
Selegiline HCl,3,2,2,1,0,0,2,1
Alternagel-Benadryl-Lidocaine Visc.,3,2,2,0,1,0,4,3
Scopolamine HBr,3,2,1,2,0,2,4,2
Thalidomide,3,2,1,0,2,1,4,0
Albumin 5% (,3,2,1,0,1,0,4,1
Florastor,3,2,1,0,0,0,2,1
Propantheline Bromide,3,2,0,1,1,4,2,0
Ocuvite,3,2,0,0,0,0,0,0
Quinidine Sulfate,3,1,8,1,0,0,6,0
Lubiprostone,3,1,7,0,1,0,5,0
SKELAXIN,3,1,7,0,0,0,1,1
insulin,3,1,6,1,0,0,2,0
Zoledronic Acid,3,1,5,0,2,1,4,3
Lidocaine 4%,3,1,4,2,2,5,5,0
Thioridazine HCl,3,1,3,5,0,0,5,5
*NF* Ceftaroline,3,1,3,0,2,0,1,0
Fuzeon,3,1,3,0,0,3,5,1
Sulfameth,3,1,3,0,0,1,3,1
Trisodium Citrate 4% Replacement Soln,3,1,3,0,0,1,1,0
Keppra,3,1,3,0,0,0,3,2
HEParin (Porcine) in NS (PF),3,1,3,0,0,0,1,1
Mesalamine Enema,3,1,2,1,0,1,7,0
mult,3,1,2,0,0,2,5,3
Theophylline ,3,1,1,1,1,0,1,1
Betoptic S,3,1,1,0,2,0,5,0
Nitazoxanide,3,1,1,0,1,2,1,0
Tacro,3,1,1,0,0,2,0,0
Megestro,3,1,1,0,0,0,0,0
Kayexalate,3,1,0,1,0,0,0,1
Gentamicin 0.3% Ophth. Ointment,3,1,0,0,1,0,3,0
Saquinavir (Invirase) Cap,3,1,0,0,0,6,3,3
Hydrocortisone Acetate 10%  Foam,3,1,0,0,0,2,3,1
Blistex Lip Ointment,3,1,0,0,0,1,3,0
NEO*IV*Fat Emulsion,3,1,0,0,0,0,26,21
Proparacaine HCl 0.5% Opth.,3,1,0,0,0,0,3,1
Azelastine,3,1,0,0,0,0,2,3
Liposomal Cytarabine (Depocyt),3,1,0,0,0,0,1,3
Glucophage XR,3,0,46,2,2,1,37,2
Lithium Carbonate CR (Eskalith),3,0,15,0,0,4,6,0
Prograf,3,0,9,0,0,0,3,0
Voltaren,3,0,8,5,2,0,7,2
Bromocriptine Mesylate,3,0,7,9,3,1,23,6
Methadone PCA,3,0,6,1,2,0,15,6
Nitrofurantoin,3,0,6,1,0,0,4,0
Alcohol 10%,3,0,5,8,4,1,16,0
Darvocet-N 100,3,0,5,3,0,0,0,0
Flovent 110mcg,3,0,5,1,2,0,2,0
Sulfasalazine,3,0,5,1,1,5,2,0
Volumen (Barium Sulfate 0.1% Suspension),3,0,5,1,1,2,8,1
ValGANCIclovi,3,0,5,0,0,5,3,1
Remeron SolTab,3,0,5,0,0,0,8,3
D17.5W,3,0,5,0,0,0,0,0
Cyclosporine,3,0,4,4,0,9,4,4
ACCUZYME,3,0,4,2,0,0,0,0
Nicardipine HCl,3,0,4,1,0,0,12,1
Edrophonium Chloride,3,0,4,1,0,0,9,2
Haloperidol Decanoate,3,0,4,0,0,0,6,2
Sulfinpyrazone,3,0,3,10,0,0,5,0
Multivitamin IV (Without Vit. K),3,0,3,3,0,0,8,2
asa,3,0,3,3,0,0,3,0
Varicella Virus Vaccine,3,0,3,3,0,0,3,0
Insulin ,3,0,3,2,0,0,0,0
Albuterol Sulfate-Ipratropium,3,0,3,1,0,0,5,7
*NF* Beclomethasone Dipropionate Inhalation,3,0,3,0,3,2,2,0
0.9% Sodium Chloride P.F. (Syringe),3,0,3,0,1,2,3,1
bactrim,3,0,3,0,0,11,1,0
Ethosuximide,3,0,3,0,0,0,3,0
Omnipred,3,0,2,3,0,0,5,0
Anusol Suppository,3,0,2,1,2,2,3,2
Elmiron,3,0,2,1,0,0,3,0
Sodium Chloride (23.4%) Kit,3,0,2,0,2,1,14,0
Porfimer Sodium,3,0,2,0,1,0,0,2
demeclocycline,3,0,2,0,0,0,4,0
Acetaminophen ,3,0,2,0,0,0,2,1
Tolnaftate 1% Cream,3,0,2,0,0,0,0,0
Sulfacetamide 10% Ophth Soln.,3,0,1,1,0,3,3,0
Colazal,3,0,1,1,0,1,3,0
Polyvinyl Alcohol-Povidone,3,0,1,1,0,0,3,1
OxycoDONE,3,0,1,0,4,0,8,1
Imitrex,3,0,1,0,3,2,6,1
brimonidine,3,0,1,0,2,0,4,1
Megestr,3,0,1,0,1,0,2,0
Amylase-Lipase-Protease,3,0,1,0,1,0,0,0
ofloxacin,3,0,1,0,0,0,8,6
Water,3,0,1,0,0,0,4,0
Lidocaine 1% ,3,0,1,0,0,0,3,1
Kytril,3,0,1,0,0,0,3,1
Aminocaproic ,3,0,1,0,0,0,1,0
Tretinoin (Chemotherapy),3,0,1,0,0,0,0,3
as,3,0,0,3,3,0,3,0
Efudex,3,0,0,3,0,0,0,0
albumin,3,0,0,2,0,2,4,0
L-Hyoscyamine SL,3,0,0,2,0,0,0,0
Pristiq,3,0,0,2,0,0,0,0
Hydrocodone-Acetaminophen (5mg-500mg),3,0,0,1,1,0,1,1
sodium b,3,0,0,1,0,0,1,1
Treprostinil Sodium,3,0,0,0,0,7,9,0
Maraviroc,3,0,0,0,0,3,0,5
Ciprofloxacin in D5W,3,0,0,0,0,1,0,3
Hydromorphone-hp,3,0,0,0,0,1,0,0
NEO*IV*Vancomycin,3,0,0,0,0,0,27,39
Indomethacin Sodium,3,0,0,0,0,0,18,2
Tranylcypromine Sulfate,3,0,0,0,0,0,7,6
anagrelide,3,0,0,0,0,0,7,0
Parcopa,3,0,0,0,0,0,5,1
sorafenib,3,0,0,0,0,0,3,3
degarelix,3,0,0,0,0,0,3,0
Pimecrolimus,3,0,0,0,0,0,3,0
Dornase alfa *NF*,3,0,0,0,0,0,2,2
Vancomycin Intraventricular,3,0,0,0,0,0,2,0
NEO*IV*Ampicillin Sodium,3,0,0,0,0,0,1,18
Azacitidine (Subcut),3,0,0,0,0,0,1,3
NS  W/  0.1% Albumin,3,0,0,0,0,0,1,1
Heparin Flush (10 Units/mL),3,0,0,0,0,0,1,0
Zanamivir,3,0,0,0,0,0,0,0
Accuzyme,3,0,0,0,0,0,0,0
Gengraf,3,0,0,0,0,0,0,0
Voltaren-XR,3,0,0,0,0,0,0,0
Aptivus,3,0,0,0,0,0,0,0
Colestipol HCl,3,0,0,0,0,0,0,0
Aliskiren,2,48,5,0,1,0,7,4
Isradipine,2,12,0,0,0,0,0,1
fenofibrate micronized,2,6,11,1,0,0,1,0
Actonel,2,4,8,2,1,1,13,4
ClomiPRAMINE,2,4,8,0,4,0,8,0
MethylPREDNISolone Sod Succ ,2,4,6,0,0,0,2,2
ticagrelor,2,4,4,4,0,0,0,0
Razadyne,2,4,2,2,0,0,7,2
6 Syringes (NS),2,4,1,1,0,1,0,0
Simvastatin or placebo,2,4,0,1,0,0,0,0
Penicillin G Benzathine,2,3,6,0,0,0,0,0
urea,2,3,5,0,0,0,0,0
Acamprosate,2,3,3,0,1,8,6,0
Nysta,2,3,2,0,2,1,3,1
*NF* Levalbuterol Soln,2,3,2,0,1,0,3,2
Anagrelide,2,3,1,2,0,0,6,2
Lidocaine 2%/Epinephrine P.F.,2,3,1,1,2,0,5,2
Melphalan HCl,2,3,0,0,1,0,3,0
Desipramine,2,2,15,5,3,0,15,2
Bupropion,2,2,11,3,0,0,5,0
Medroxyprogesterone Acetate,2,2,9,0,3,0,5,1
Humalog Insulin,2,2,9,0,1,0,1,2
Benzoyl Peroxide Gel 10%,2,2,7,0,0,0,6,1
cilos,2,2,6,4,0,0,6,1
Aranesp (polysorbate),2,2,6,2,0,0,0,0
Cromolyn Sodium,2,2,5,8,11,0,14,2
Acular LS,2,2,5,1,0,2,2,0
*NF* Collagenase Oint,2,2,5,1,0,0,0,0
entacapone,2,2,5,0,0,0,4,0
Brinzolamide,2,2,5,0,0,0,3,1
Nasonex,2,2,4,3,0,0,8,0
Erythromycin Ethylsuccinate,2,2,4,1,1,1,0,1
Clotrimazole 1% Vaginal Cream,2,2,4,0,2,4,2,0
Fenofibrate Nanocrystallized,2,2,4,0,0,3,2,0
Lipram-PN16,2,2,4,0,0,0,0,0
ValGANCIclo,2,2,3,0,0,4,1,2
Ceftaroline,2,2,3,0,0,0,0,0
LORAZEPAM,2,2,2,2,2,0,2,1
*NF* Tacrolimus Suspension,2,2,2,2,0,0,0,3
Amikacin Inhalation,2,2,2,0,2,2,1,0
Phos,2,2,2,0,2,0,1,0
Testosterone 4 mg Patch,2,2,2,0,0,2,0,1
Carbamazepine (Extended-Release),2,2,2,0,0,0,6,1
clobetisol propionate ointment ,2,2,2,0,0,0,2,0
Agrylin,2,2,2,0,0,0,2,0
Nitroglycerin ,2,2,2,0,0,0,2,0
*NF* Levalbuterol Neb,2,2,2,0,0,0,1,0
Acetami,2,2,2,0,0,0,0,2
Clonidine,2,2,2,0,0,0,0,0
Polyethylene Glycol 400 (Bulk),2,2,2,0,0,0,0,0
Alphagan P,2,2,1,0,5,0,7,2
Uloric,2,2,1,0,1,1,0,0
ValGANCI,2,2,1,0,0,3,0,1
Levothyroxine,2,2,1,0,0,0,0,0
Zemuron,2,2,1,0,0,0,0,0
Combigan,2,2,0,2,0,0,7,1
SODIUM BICA,2,2,0,2,0,0,0,0
Prismasate (Ca 3.5),2,2,0,2,0,0,0,0
valganciclovir,2,2,0,0,2,2,0,0
Enablex,2,2,0,0,2,0,7,0
Mycophenolate Mofetil (Self Med),2,2,0,0,0,5,0,0
acetylc,2,2,0,0,0,4,0,2
Anusol-HC Suppository,2,2,0,0,0,2,5,1
NEO*IV*Oxacillin,2,2,0,0,0,0,6,6
Bupivacaine 0.25%-Epinephrine,2,2,0,0,0,0,2,1
Neo-Synephrine,2,2,0,0,0,0,1,0
permethrin,2,2,0,0,0,0,1,0
Acetic Acid Glacial 0.04%,2,2,0,0,0,0,0,0
Verapa,2,2,0,0,0,0,0,0
mucine,2,2,0,0,0,0,0,0
Epogen,2,2,0,0,0,0,0,0
Rabies Immune Globulin,2,2,0,0,0,0,0,0
Acetaminop,2,2,0,0,0,0,0,0
imatinib,2,2,0,0,0,0,0,0
Acetic Acid 0.04% Soln,2,2,0,0,0,0,0,0
Adcirca,2,2,0,0,0,0,0,0
Ace,2,2,0,0,0,0,0,0
Tyvaso,2,2,0,0,0,0,0,0
Peridex,2,1,7,1,0,0,7,2
Flonase,2,1,6,0,4,0,3,2
DimenhyDRINATE,2,1,6,0,0,0,1,0
Proplex T,2,1,5,2,0,0,2,1
Aromasin,2,1,5,0,1,1,4,1
Analgesic Balm,2,1,4,1,0,0,5,0
Afrin,2,1,4,1,0,0,3,0
Pregabalin Oral Solution,2,1,4,0,2,0,2,1
Humulin-R Insulin (U-500),2,1,4,0,0,0,1,0
diltiazem,2,1,3,2,0,0,1,0
letrozole,2,1,3,1,0,1,2,0
AMOXicillin Oral Susp.,2,1,3,0,1,3,8,0
Meloxicam,2,1,3,0,0,0,4,2
mul,2,1,3,0,0,0,3,1
Carteolol 1% Ophth Soln,2,1,3,0,0,0,3,0
Ipratropium Bromide HFA,2,1,3,0,0,0,2,2
Levobunolol 0.5%,2,1,2,2,1,0,11,2
Docus,2,1,2,2,0,0,3,1
Vesicare,2,1,2,1,1,0,7,1
CeleBREX,2,1,2,1,1,0,5,3
Hepari,2,1,2,1,0,0,2,0
*NF* Rocuronium Bromide,2,1,2,1,0,0,0,0
ZYRtec,2,1,2,0,3,2,3,2
potas,2,1,2,0,1,0,5,0
Sulindac,2,1,2,0,1,0,3,0
Balsalazide,2,1,2,0,0,1,3,2
Memantine HCl,2,1,2,0,0,0,2,1
thera,2,1,2,0,0,0,1,0
Hyaluronidase,2,1,2,0,0,0,0,1
Aciphex,2,1,2,0,0,0,0,1
Doxil,2,1,2,0,0,0,0,0
Mycophenolate Sodium,2,1,1,1,0,0,1,0
Liothyronine,2,1,1,0,2,0,0,0
Calcium Gluconate Replacement (Critical Care and Oncology),2,1,1,0,1,0,2,0
dornase alfa,2,1,1,0,1,0,1,0
ValGANCIcl,2,1,1,0,0,4,0,2
Indigotindisulfonate Sodium,2,1,1,0,0,0,1,1
SODIUM BICARB,2,1,1,0,0,0,1,0
Sulfacetamide-Prednisolone Ophth. Oint.,2,1,1,0,0,0,0,1
Methad,2,1,1,0,0,0,0,1
Guanfacine,2,1,1,0,0,0,0,0
multivi,2,1,0,2,1,2,2,0
*NF* Bicalutamide,2,1,0,2,0,0,5,0
Cocaine HCl,2,1,0,1,0,0,7,1
Pemetrexed,2,1,0,1,0,0,1,2
Urocit-K 10,2,1,0,1,0,0,1,0
SODIUM BICAR,2,1,0,1,0,0,1,0
dorzolamide,2,1,0,1,0,0,1,0
CVVH CITRATED,2,1,0,1,0,0,0,0
EpiPen,2,1,0,0,1,0,0,0
Norethindrone-Estradiol,2,1,0,0,0,3,0,0
AmLactin,2,1,0,0,0,2,0,0
VALTREX,2,1,0,0,0,1,2,2
Tarceva,2,1,0,0,0,0,1,1
lansoprazole,2,1,0,0,0,0,1,1
Akwa Tears,2,1,0,0,0,0,0,1
Vancomycin ,2,1,0,0,0,0,0,0
Glyburide/Metformin (2.5mg-500mg),2,0,20,2,2,0,17,0
Monopril,2,0,11,2,1,0,7,0
*IND* Pexelizumab/Placebo,2,0,10,6,0,0,6,2
Demeclocycline,2,0,8,7,2,0,12,6
Foltx,2,0,7,2,0,0,3,0
Humalog Mix 75-25,2,0,7,0,0,0,0,0
bisoprolol fumarate,2,0,5,0,3,0,5,0
Patanol,2,0,4,5,3,0,10,0
Tamiflu,2,0,4,3,0,0,3,1
Dicyclomine,2,0,4,2,10,0,11,3
Lithium Carbonate SR,2,0,4,0,4,0,3,0
Divalproex,2,0,4,0,1,0,3,0
Simulect,2,0,4,0,0,8,1,0
Phenelzine Sulfate,2,0,4,0,0,0,5,0
Trastuzumab,2,0,4,0,0,0,4,4
Midrin,2,0,4,0,0,0,2,5
Ranitidine HCl,2,0,3,1,1,0,4,1
Ergocalciferol,2,0,3,1,0,0,3,1
Flovent,2,0,3,1,0,0,1,0
Sodium Citrate,2,0,3,1,0,0,0,0
Humulin 70/30,2,0,3,0,0,1,1,0
MENINGOcoccal Vaccine,2,0,3,0,0,0,4,0
Clindamycin Phosphate,2,0,3,0,0,0,2,1
Prozac,2,0,3,0,0,0,2,0
Foradil Aerolizer,2,0,2,4,2,0,6,1
Neutra-phos,2,0,2,3,2,0,5,7
HydrALAZINE,2,0,2,3,0,0,2,0
Bactroban,2,0,2,2,0,0,2,0
Pramipexole Dihydrochloride,2,0,2,2,0,0,2,0
*NF* VYTONE CREAM,2,0,2,2,0,0,0,0
*NF BRINZOLAMIDE (AZOPT),2,0,2,2,0,0,0,0
robit,2,0,2,2,0,0,0,0
Naphazoline 0.1% Ophth,2,0,2,1,0,0,2,1
Gabapentin (Liquid),2,0,2,1,0,0,0,0
Sincalide,2,0,2,0,2,2,6,0
"Lidocaine 2%/Epi 1:100,000",2,0,2,0,1,1,2,1
Amphetamine-Dextroamphetamine,2,0,2,0,0,2,1,0
Inamrinone Lactate,2,0,2,0,0,2,0,0
fidaxomicin,2,0,2,0,0,2,0,0
Tacroli,2,0,2,0,0,1,1,0
sitaGLIPtin,2,0,2,0,0,0,2,2
Acetaminophe,2,0,2,0,0,0,2,2
*NF* Estraderm,2,0,2,0,0,0,2,2
Sudafed,2,0,2,0,0,0,2,2
Metoprolo,2,0,2,0,0,0,2,0
Cefpodo,2,0,2,0,0,0,2,0
Cyanide Antidote,2,0,2,0,0,0,1,3
Calcium Acetate/Al Sulfate,2,0,2,0,0,0,1,1
Rocuronium Bromide,2,0,2,0,0,0,1,1
Zenpep,2,0,2,0,0,0,1,0
Peppermint ,2,0,2,0,0,0,1,0
donepezil 5 mg or placebo,2,0,2,0,0,0,0,2
MENINGOcoccal Conj Vaccine (Menomune),2,0,2,0,0,0,0,0
~<IND> Ketamine/Placebo Study Drug,2,0,2,0,0,0,0,0
Insulin Humalog 75/25 Pen,2,0,2,0,0,0,0,0
Tucks,2,0,1,2,1,0,2,1
Neomycin-Polymyxin-HC (Otic),2,0,1,2,0,2,3,1
Carrington Dermal Wound,2,0,1,1,1,0,2,0
Enbrel,2,0,1,1,0,2,4,0
Syringe (Intraventricular),2,0,1,1,0,0,11,1
Dextran 40 10% in D5W,2,0,1,1,0,0,2,0
Dopamine,2,0,1,1,0,0,1,0
Lidocain,2,0,1,1,0,0,0,0
Chloramphenicol Na Succ,2,0,1,0,2,0,1,1
Levoxyl,2,0,1,0,1,0,6,4
coenzyme Q10,2,0,1,0,1,0,3,2
Prednisolone Acetate,2,0,1,0,1,0,3,0
*NF* Capecitabine,2,0,1,0,1,0,2,1
Hydrocortisone Enema,2,0,1,0,0,3,6,3
Meperi,2,0,1,0,0,1,1,0
REVLIMID,2,0,1,0,0,1,0,1
Pramoxine,2,0,1,0,0,1,0,0
Rilutek,2,0,1,0,0,0,6,1
Alcohol Dehydrated,2,0,1,0,0,0,2,2
bactr,2,0,1,0,0,0,2,0
*NF* Rocuronium,2,0,1,0,0,0,1,1
Doxycycline Hyclate (Bulk),2,0,1,0,0,0,1,0
Iodine Strong (Lugols),2,0,1,0,0,0,1,0
GLARGINE,2,0,1,0,0,0,0,0
econ,2,0,1,0,0,0,0,0
anakINRA,2,0,1,0,0,0,0,0
Flurbiprofen 0.03%,2,0,0,5,1,5,2,0
aspi,2,0,0,2,0,0,4,0
Acetamin,2,0,0,2,0,0,0,0
Kaletra,2,0,0,1,0,1,1,0
Tylenol w/Codeine Elixir,2,0,0,1,0,0,2,0
bismuth subsalicy,2,0,0,1,0,0,1,0
Mupirocin Ointment 2%,2,0,0,1,0,0,0,1
Dextros,2,0,0,1,0,0,0,0
Raloxifene HCl,2,0,0,0,2,0,3,2
Simvastin or Placebo,2,0,0,0,2,0,0,2
Duragesic,2,0,0,0,2,0,0,0
Ephedrine Sulfate (Pressors),2,0,0,0,1,0,3,2
Irinotecan HCl,2,0,0,0,1,0,0,0
Fluconazole (Self Med),2,0,0,0,0,5,0,0
Prismasate (K 2),2,0,0,0,0,2,2,0
ValGANCIc,2,0,0,0,0,2,0,0
Sulfamet,2,0,0,0,0,2,0,0
INSULIN ULTRALENTE,2,0,0,0,0,2,0,0
Tranexamic Acid,2,0,0,0,0,2,0,0
alb,2,0,0,0,0,1,2,1
Quetiapine Oral Suspension,2,0,0,0,0,1,2,1
Phenylephrine 2.5 %,2,0,0,0,0,1,0,1
Clobetasol Propionate,2,0,0,0,0,1,0,0
Phenytoin ,2,0,0,0,0,0,9,2
Penicillamine,2,0,0,0,0,0,5,0
OxycoDONE ,2,0,0,0,0,0,4,0
Ritonavir/Lopinavir,2,0,0,0,0,0,4,0
Methenamine Mandelate,2,0,0,0,0,0,3,1
etanercept,2,0,0,0,0,0,2,2
Phenylephrine HCl 1%,2,0,0,0,0,0,2,2
Cyclosporine Modified,2,0,0,0,0,0,2,0
Humira,2,0,0,0,0,0,2,0
rasagiline,2,0,0,0,0,0,2,0
Betamethasone Acet & Sod Phos,2,0,0,0,0,0,2,0
Soriatane CK,2,0,0,0,0,0,2,0
Pancuronium Bromide (NICU),2,0,0,0,0,0,2,0
Feraheme,2,0,0,0,0,0,2,0
cellcept,2,0,0,0,0,0,2,0
Meperidine HCl,2,0,0,0,0,0,2,0
Dexame,2,0,0,0,0,0,1,2
sodi,2,0,0,0,0,0,1,0
*NF* Nafcillin Sodium,2,0,0,0,0,0,1,0
cet,2,0,0,0,0,0,1,0
Potassium Citrate,2,0,0,0,0,0,1,0
Amphotericin B Oral Solution,2,0,0,0,0,0,0,2
Didanosine,2,0,0,0,0,0,0,2
guai,2,0,0,0,0,0,0,2
Bacitracin Ophthalmic oint,2,0,0,0,0,0,0,2
Tasmar,2,0,0,0,0,0,0,2
Rocaltrol,2,0,0,0,0,0,0,2
Morphine Sulfate (2-6mg),2,0,0,0,0,0,0,0
viok,2,0,0,0,0,0,0,0
Defibrotide <IND>,2,0,0,0,0,0,0,0
Nexium 40mg capsules,2,0,0,0,0,0,0,0
Avonex,2,0,0,0,0,0,0,0
Lactaid Fast Act,2,0,0,0,0,0,0,0
ZOFRAN ODT,2,0,0,0,0,0,0,0
*NF* Tobramycin Soln,2,0,0,0,0,0,0,0
Revia,2,0,0,0,0,0,0,0
Paromomycin,2,0,0,0,0,0,0,0
HYDROmorphone Solution,2,0,0,0,0,0,0,0
*NF* Imiglucerase,2,0,0,0,0,0,0,0
Doc,2,0,0,0,0,0,0,0
Amylase/Lipase/Protease,2,0,0,0,0,0,0,0
Pegasys,2,0,0,0,0,0,0,0
Thymoglobulin (IND),2,0,0,0,0,0,0,0
*NF* Enfuvirtide,2,0,0,0,0,0,0,0
Agrylin (anagrelide) 0.5mg CAP,2,0,0,0,0,0,0,0
Betamethasone Valerate 0.1% Ointment,2,0,0,0,0,0,0,0
Vancomycin fortified opthalmic,2,0,0,0,0,0,0,0
Lithium ,2,0,0,0,0,0,0,0
Belladonna-Opium,2,0,0,0,0,0,0,0
Thera Tears,2,0,0,0,0,0,0,0
